"id","nom","desserte","pmr","ascenseur","escalator","gid","last_update","last_update_fme"
46574,"Décines OL Vallée","BGS1:A,BGS1:R,BGS2:A,BGS2:R",false,false,false,11113,"2021-09-19 02:31:27","2021-09-19 06:00:24"
46579,"Meyzieu les Panettes","BGS1:A,BGS1:R",false,false,false,11114,"2021-09-19 02:31:27","2021-09-19 06:00:24"
46580,"Décines OL Vallée","BGS1:A,BGS1:R",false,false,false,11115,"2021-09-19 02:31:27","2021-09-19 06:00:24"
46581,"Décines OL Vallée","BGS2:A,BGS2:R",false,false,false,11116,"2021-09-19 02:31:27","2021-09-19 06:00:24"
46612,"Meyzieu les Panettes","BGS1:A",false,false,false,11117,"2021-09-19 02:31:27","2021-09-19 06:00:24"
46613,"Eurexpo","BGS2:A",false,false,false,11118,"2021-09-19 02:31:27","2021-09-19 06:00:24"
46614,"Eurexpo","BGS2:R",false,false,false,11119,"2021-09-19 02:31:27","2021-09-19 06:00:24"
47671,"Foucaud - Picasso","57A:A",false,false,false,11121,"2021-09-19 02:31:27","2021-09-19 06:00:25"
47739,"Le Meridien","5A:R,86A:R",false,false,false,10750,"2021-09-19 02:31:27","2021-09-19 06:00:25"
47740,"Ancienne Gare","11B:A,2EX:A,73D:A,73E:A",true,false,false,10786,"2021-09-19 02:31:27","2021-09-19 06:00:25"
47741,"Piscine de Vaise","19A:R,3A:R,66B:R",false,false,false,10726,"2021-09-19 02:31:27","2021-09-19 06:00:25"
47743,"Val Rosay","20A:A,2A:A,71A:A",false,false,false,10841,"2021-09-19 02:31:27","2021-09-19 06:00:25"
47744,"Champagne Centre","21A:R,61B:R",false,false,false,10787,"2021-09-19 02:31:27","2021-09-19 06:00:25"
47760,"Ctre Hospitalier Mt d'Or","43A:A",false,false,false,11122,"2021-09-19 02:31:27","2021-09-19 06:00:25"
50,"Charmettes","C16A:A",true,false,false,824,"2021-09-19 02:31:27","2021-09-19 06:00:21"
58,"Anatole France","39A:R",true,false,false,9567,"2021-09-19 02:31:27","2021-09-19 06:00:21"
64,"Andre Boulloche","93A:A",true,false,false,9543,"2021-09-19 02:31:27","2021-09-19 06:00:21"
73,"Aqueducs de Beaunant","11B:R,12B:R,14B:R",false,false,false,10656,"2021-09-19 02:31:27","2021-09-19 06:00:21"
140,"Batterie","24A:R",true,false,false,10702,"2021-09-19 02:31:27","2021-09-19 06:00:21"
197,"Berthaudiere","67A:R",true,false,false,10769,"2021-09-19 02:31:27","2021-09-19 06:00:21"
428,"Charmet","17B:R,C7B:R",true,false,false,1108,"2021-09-19 02:31:27","2021-09-19 06:00:21"
467,"Chemin de Grange Blanche","54A:A",true,false,false,1129,"2021-09-19 02:31:27","2021-09-19 06:00:21"
484,"Caluire Chemin Petit","70A:R",true,false,false,1138,"2021-09-19 02:31:27","2021-09-19 06:00:21"
490,"Valpre","19A:R",true,false,false,1144,"2021-09-19 02:31:27","2021-09-19 06:00:21"
502,"Cimetiere d'Oullins","C7B:R",true,false,false,9017,"2021-09-19 02:31:27","2021-09-19 06:00:21"
542,"Claudius Collonge","63A:A,63A:R,S1A:A,S1A:R",false,false,false,10801,"2021-09-19 02:31:27","2021-09-19 06:00:21"
682,"Dauphine","62A:A,87A:A",true,false,false,9377,"2021-09-19 02:31:27","2021-09-19 06:00:21"
693,"Debrousse","C19A:A",true,false,false,1290,"2021-09-19 02:31:27","2021-09-19 06:00:21"
697,"Decines Champ Fleuri","67A:A",true,false,false,10770,"2021-09-19 02:31:27","2021-09-19 06:00:21"
753,"Diderot","C7B:R",true,false,false,9018,"2021-09-19 02:31:27","2021-09-19 06:00:21"
795,"Dumas","69A:A",false,false,false,10990,"2021-09-19 02:31:27","2021-09-19 06:00:21"
808,"Duquesne - Foch","C6C:A",true,false,false,10463,"2021-09-19 02:31:27","2021-09-19 06:00:21"
45809,"Le Pont","2EX:A",false,false,false,11104,"2021-09-19 02:31:27","2021-09-19 06:00:24"
46095,"Pontet Crases","3A:R,C6C:A,C6E:A",true,false,false,3427,"2021-09-19 02:31:27","2021-09-19 06:00:24"
46096,"Pontet Crases","3A:A,C6C:R,C6E:R,PL3A:A",true,false,false,3426,"2021-09-19 02:31:27","2021-09-19 06:00:24"
46111,"Thurins Les Vergers","11B:R",true,false,false,4968,"2021-09-19 02:31:27","2021-09-19 06:00:24"
46121,"Gare d'Oullins","11B:A",true,false,false,738,"2021-09-19 02:31:27","2021-09-19 06:00:24"
47771,"Waldeck - Rousseau","78B:R,80A:A",false,false,false,10752,"2021-09-19 02:31:27","2021-09-19 06:00:25"
47772,"Les Vernes - J. Valles","80A:A",true,false,false,10799,"2021-09-19 02:31:27","2021-09-19 06:00:25"
47774,"Corbas Les Roses","87A:A,ZI1A:A",false,false,false,10792,"2021-09-19 02:31:27","2021-09-19 06:00:25"
47775,"Langevin","93A:R",false,false,false,10874,"2021-09-19 02:31:27","2021-09-19 06:00:25"
51,"Charmettes","C16A:R",true,false,false,821,"2021-09-19 02:31:27","2021-09-19 06:00:21"
66,"Andre Brun","16A:R",false,false,false,837,"2021-09-19 02:31:27","2021-09-19 06:00:21"
75,"Arago","C11A:A",true,false,false,844,"2021-09-19 02:31:27","2021-09-19 06:00:21"
98,"Ayasse - Yves Farge","34A:A,C7B:A",true,false,false,9387,"2021-09-19 02:31:27","2021-09-19 06:00:21"
47777,"Bd de Parilly","93A:R",false,false,false,10876,"2021-09-19 02:31:27","2021-09-19 06:00:25"
47778,"Les Mouettes","95A:A",false,false,false,10793,"2021-09-19 02:31:27","2021-09-19 06:00:25"
47779,"Centre commercial Ecully","C6C:A",false,false,false,10767,"2021-09-19 02:31:27","2021-09-19 06:00:25"
47780,"Orsel","C7B:R",false,false,false,11100,"2021-09-19 02:31:27","2021-09-19 06:00:25"
47782,"Mont Louis","C14A:A,S15A:A",false,false,false,10830,"2021-09-19 02:31:27","2021-09-19 06:00:25"
47783,"Egalite - Farrere","C25B:A",false,false,false,10795,"2021-09-19 02:31:27","2021-09-19 06:00:25"
204,"Bir Hakeim","C11A:A",true,false,false,9413,"2021-09-19 02:31:27","2021-09-19 06:00:21"
47784,"Les Halles 102 - 104","5A:A,86A:A",false,false,false,10753,"2021-09-19 02:31:27","2021-09-19 06:00:25"
227,"Bon Coin - Medipole","C11A:A,C17A:R,C3A:A",true,false,false,9522,"2021-09-19 02:31:27","2021-09-19 06:00:21"
238,"Bourget","31A:R,43A:R",true,false,false,10926,"2021-09-19 02:31:27","2021-09-19 06:00:21"
47785,"Les Halles 102 - 104","5A:R,86A:R",false,false,false,10754,"2021-09-19 02:31:27","2021-09-19 06:00:25"
352,"Carrefour Liberation","5A:A,5A:R,73D:R,C21A:A,C21A:R",false,false,false,10755,"2021-09-19 02:31:27","2021-09-19 06:00:21"
443,"Gare de Villeurbanne","C26A:R",true,false,false,553,"2021-09-19 02:31:27","2021-09-19 06:00:21"
444,"Charton","C7B:A",true,false,false,5858,"2021-09-19 02:31:27","2021-09-19 06:00:21"
452,"Chassieu Mairie","68B:R,76A:R",true,false,false,10249,"2021-09-19 02:31:27","2021-09-19 06:00:21"
463,"Chazay","C20D:A,C20E:A",true,false,false,1125,"2021-09-19 02:31:27","2021-09-19 06:00:21"
466,"Chemin Bressan","43A:R",true,false,false,1126,"2021-09-19 02:31:27","2021-09-19 06:00:21"
834,"Ecully Centre","19A:R,3A:R",true,false,false,10712,"2021-09-19 02:31:27","2021-09-19 06:00:21"
853,"Entree de Decines","67A:A",true,false,false,1395,"2021-09-19 02:31:27","2021-09-19 06:00:21"
873,"Etats-Unis Viviani","26A:A",true,false,false,9759,"2021-09-19 02:31:27","2021-09-19 06:00:21"
884,"Eurexpo Entrée Princ.","100A:A,100A:R",true,false,false,11040,"2021-09-19 02:31:27","2021-09-19 06:00:21"
901,"Felix Faure Vivier Merle","C11A:A",true,false,false,9414,"2021-09-19 02:31:27","2021-09-19 06:00:21"
912,"Feuillat - Lacassagne","25A:R,C13B:A,C16A:R",false,false,false,1409,"2021-09-19 02:31:27","2021-09-19 06:00:21"
1393,"La Gabrielle","115A:R,118A:R,21A:R,61B:R",true,false,false,9270,"2021-09-19 02:31:27","2021-09-19 06:00:22"
1426,"La Pagere - Les Brosses","24A:R",true,false,false,10703,"2021-09-19 02:31:27","2021-09-19 06:00:22"
1431,"La Pelletiere","132:A,171:A,S8A:A",true,false,false,6024,"2021-09-19 02:31:27","2021-09-19 06:00:22"
1449,"La Sarra","90B:A",true,false,false,6036,"2021-09-19 02:31:27","2021-09-19 06:00:22"
1452,"La Saulaie","15C:R,17B:A",true,false,false,10402,"2021-09-19 02:31:27","2021-09-19 06:00:22"
1470,"La Vernique","19A:R,3A:R",true,false,false,10713,"2021-09-19 02:31:27","2021-09-19 06:00:22"
1482,"Laborde","31A:R,43A:R",true,false,false,10927,"2021-09-19 02:31:27","2021-09-19 06:00:22"
235,"Bourdarias","C25B:R",true,false,false,9303,"2021-09-19 02:31:27","2021-09-19 06:00:21"
256,"Boutasse - C. Rousset","C17A:A",true,false,false,406,"2021-09-19 02:31:27","2021-09-19 06:00:21"
269,"Brossolette-Genas","24A:A,25A:A,52A:R",true,false,false,9260,"2021-09-19 02:31:27","2021-09-19 06:00:21"
325,"Mermoz - Californie","C15A:A,PL2A:A",true,false,false,9757,"2021-09-19 02:31:27","2021-09-19 06:00:21"
328,"Caluire Centre","33A:R,38B:R,S5A:R",true,false,false,9758,"2021-09-19 02:31:27","2021-09-19 06:00:21"
46119,"La Croix des Hormes","97A:A,97A:R",true,false,false,5186,"2021-09-19 02:31:27","2021-09-19 06:00:24"
46120,"Gare d'Oullins","11B:R,12B:R,14B:R,18B:R,328A:A,328A:R,78B:R,88B:A,88B:R",true,false,false,739,"2021-09-19 02:31:27","2021-09-19 06:00:24"
46122,"Gare d'Oullins","12B:A",true,false,false,740,"2021-09-19 02:31:27","2021-09-19 06:00:24"
46128,"Parc Bourrat","17B:R",false,false,false,5121,"2021-09-19 02:31:27","2021-09-19 06:00:24"
420,"Charles Richard","25A:R,C26A:A",true,false,false,1102,"2021-09-19 02:31:27","2021-09-19 06:00:21"
47797,"Caluire - Bords de Saone","40A:R",false,false,false,10888,"2021-09-19 02:31:27","2021-09-19 06:00:25"
47798,"Caluire - Bords de Saone","S5A:A,S5A:R",false,false,false,10882,"2021-09-19 02:31:27","2021-09-19 06:00:25"
47799,"Caluire - Bords de Saone","40A:A",false,false,false,10889,"2021-09-19 02:31:27","2021-09-19 06:00:25"
47801,"Place des Buers","C17A:A",false,false,false,10892,"2021-09-19 02:31:27","2021-09-19 06:00:25"
47832,"Irigny Mairie","15F:A",false,false,false,11102,"2021-09-19 02:31:27","2021-09-19 06:00:25"
47837,"Montibert-Aquagaron","12B:A",false,false,false,11005,"2021-09-19 02:31:27","2021-09-19 06:00:25"
47838,"Montibert-Aquagaron","12B:R",false,false,false,11006,"2021-09-19 02:31:27","2021-09-19 06:00:25"
1529,"R.N.6 - A. Pare","29A:A,29A:R",true,false,false,1841,"2021-09-19 02:31:27","2021-09-19 06:00:22"
1542,"Le Gregoire","3A:A",true,false,false,1850,"2021-09-19 02:31:27","2021-09-19 06:00:22"
1575,"Le Rotagnier","68B:R",true,false,false,10346,"2021-09-19 02:31:27","2021-09-19 06:00:22"
1641,"Les Selettes","15F:R,18B:R",true,false,false,1937,"2021-09-19 02:31:27","2021-09-19 06:00:22"
1656,"Les Cotes","15C:A,15F:A",false,false,false,1951,"2021-09-19 02:31:27","2021-09-19 06:00:22"
1697,"Les Grillons","68B:R",false,false,false,1990,"2021-09-19 02:31:27","2021-09-19 06:00:22"
1700,"Les Hautannes","96A:A,96A:R",false,false,false,9907,"2021-09-19 02:31:27","2021-09-19 06:00:22"
1717,"Les Meurieres","62A:A,T36:A",true,false,false,10771,"2021-09-19 02:31:27","2021-09-19 06:00:22"
1718,"Les Meurieres","62A:R,T36:R",true,false,false,10772,"2021-09-19 02:31:27","2021-09-19 06:00:22"
1794,"Limonest Centre","21A:A,942A:A",true,false,false,2073,"2021-09-19 02:31:27","2021-09-19 06:00:22"
1916,"Marius Poncet","72C:R",false,false,false,10773,"2021-09-19 02:31:27","2021-09-19 06:00:22"
1921,"Marne Pagere","24A:R",false,false,false,10704,"2021-09-19 02:31:27","2021-09-19 06:00:22"
2090,"Mermoz - Moselle","PL2A:A",true,false,false,11030,"2021-09-19 02:31:27","2021-09-19 06:00:22"
2091,"Mermoz - Moselle","C15A:A,C15A:R",true,false,false,10177,"2021-09-19 02:31:27","2021-09-19 06:00:22"
2095,"Moulin à Vent","34A:A",true,false,false,10744,"2021-09-19 02:31:27","2021-09-19 06:00:22"
2212,"Part-Dieu Renaudel","25A:A,C13B:R,C7B:A,C9A:A",true,false,false,10700,"2021-09-19 02:31:27","2021-09-19 06:00:22"
2230,"Gare Part-Dieu V.Merle","328A:A",true,false,false,10454,"2021-09-19 02:31:27","2021-09-19 06:00:22"
2330,"Pierre Joseph Proudhon","69A:R",true,false,false,10717,"2021-09-19 02:31:27","2021-09-19 06:00:22"
2367,"Croix-Rousse","C13B:A,C13B:R",true,false,false,10299,"2021-09-19 02:31:27","2021-09-19 06:00:22"
47839,"Ecole Jacques Cartier","12B:A",false,false,false,11007,"2021-09-19 02:31:27","2021-09-19 06:00:25"
2495,"Pont De Lattre RD","C6C:R",true,false,false,10471,"2021-09-19 02:31:27","2021-09-19 06:00:22"
2496,"Pont De Lattre RD","C6C:A",true,false,false,10472,"2021-09-19 02:31:27","2021-09-19 06:00:22"
2556,"Quai Gillet","2A:A,2A:R,40A:A,40A:R,45B:A",true,false,false,11105,"2021-09-19 02:31:27","2021-09-19 06:00:22"
2560,"Quatre Chemins","147:R",true,false,false,10617,"2021-09-19 02:31:27","2021-09-19 06:00:22"
2579,"Republique - Reaux","28A:R",false,false,false,9768,"2021-09-19 02:31:27","2021-09-19 06:00:22"
2580,"Republique - Reaux","28A:A",false,false,false,9769,"2021-09-19 02:31:27","2021-09-19 06:00:22"
933,"Fonderie","57A:R",true,false,false,11041,"2021-09-19 02:31:27","2021-09-19 06:00:21"
954,"Foucaud - Picasso","57A:A",true,false,false,1435,"2021-09-19 02:31:27","2021-09-19 06:00:21"
988,"Gabriel Rosset","34A:R,64A:R",true,false,false,10091,"2021-09-19 02:31:27","2021-09-19 06:00:21"
1012,"Gare de Vaise","C14A:A",true,false,false,11075,"2021-09-19 02:31:27","2021-09-19 06:00:21"
1018,"Genas Place Republique","28A:R,48B:A",false,false,false,9760,"2021-09-19 02:31:27","2021-09-19 06:00:21"
