id,nom,desserte,pmr,ascenseur,escalator,gid,last_update,last_update_fme,coord1,coord2
46574,"Décines OL Vallée","BGS1:A,BGS1:R,BGS2:A,BGS2:R",false,false,false,11113,"2021-09-19 02:31:27","2021-09-19 06:00:24",854097.028715095715597,6519968.958976434543729
46579,"Meyzieu les Panettes","BGS1:A,BGS1:R",false,false,false,11114,"2021-09-19 02:31:27","2021-09-19 06:00:24",857775.435999955283478,6520117.773140934295952
46580,"Décines OL Vallée","BGS1:A,BGS1:R",false,false,false,11115,"2021-09-19 02:31:27","2021-09-19 06:00:24",854049.11312063341029,6520053.394550402648747
46581,"Décines OL Vallée","BGS2:A,BGS2:R",false,false,false,11116,"2021-09-19 02:31:27","2021-09-19 06:00:24",854010.343052099109627,6519968.780832995660603
46612,"Meyzieu les Panettes","BGS1:A",false,false,false,11117,"2021-09-19 02:31:27","2021-09-19 06:00:24",857706.635882004164159,6519944.82358174957335
46613,"Eurexpo","BGS2:A",false,false,false,11118,"2021-09-19 02:31:27","2021-09-19 06:00:24",851581.357603997923434,6516626.203664731234312
46614,"Eurexpo","BGS2:R",false,false,false,11119,"2021-09-19 02:31:27","2021-09-19 06:00:24",851397.750177792739123,6516837.957173962146044
47671,"Foucaud - Picasso","57A:A",false,false,false,11121,"2021-09-19 02:31:27","2021-09-19 06:00:25",849442.351360378437676,6521196.804006116464734
47739,"Le Meridien","5A:R,86A:R",false,false,false,10750,"2021-09-19 02:31:27","2021-09-19 06:00:25",836172.781505333259702,6520898.072481757961214
47740,"Ancienne Gare","11B:A,2EX:A,73D:A,73E:A",true,false,false,10786,"2021-09-19 02:31:27","2021-09-19 06:00:25",831960.628603833611123,6514595.351226642727852
47741,"Piscine de Vaise","19A:R,3A:R,66B:R",false,false,false,10726,"2021-09-19 02:31:27","2021-09-19 06:00:25",839625.829962557763793,6520607.554308279417455
47743,"Val Rosay","20A:A,2A:A,71A:A",false,false,false,10841,"2021-09-19 02:31:27","2021-09-19 06:00:25",840758.440474877832457,6523147.486085085198283
47744,"Champagne Centre","21A:R,61B:R",false,false,false,10787,"2021-09-19 02:31:27","2021-09-19 06:00:25",839279.72616657090839,6523236.693125870078802
47760,"Ctre Hospitalier Mt d'Or","43A:A",false,false,false,11122,"2021-09-19 02:31:27","2021-09-19 06:00:25",842381.054697004263289,6530528.53137622307986
50,"Charmettes","C16A:A",true,false,false,824,"2021-09-19 02:31:27","2021-09-19 06:00:21",845232.994536248734221,6519908.935967789962888
58,"Anatole France","39A:R",true,false,false,9567,"2021-09-19 02:31:27","2021-09-19 06:00:21",847326.845790128223598,6515372.27747016120702
64,"Andre Boulloche","93A:A",true,false,false,9543,"2021-09-19 02:31:27","2021-09-19 06:00:21",850145.38934056670405,6515102.517339107580483
73,"Aqueducs de Beaunant","11B:R,12B:R,14B:R",false,false,false,10656,"2021-09-19 02:31:27","2021-09-19 06:00:21",838434.983673839247786,6515420.321316624991596
140,"Batterie","24A:R",true,false,false,10702,"2021-09-19 02:31:27","2021-09-19 06:00:21",848938.900744498940185,6517904.576867384836078
197,"Berthaudiere","67A:R",true,false,false,10769,"2021-09-19 02:31:27","2021-09-19 06:00:21",853043.361544039100409,6521454.665156751871109
428,"Charmet","17B:R,C7B:R",true,false,false,1108,"2021-09-19 02:31:27","2021-09-19 06:00:21",841342.697486572433263,6512534.503118927590549
467,"Chemin de Grange Blanche","54A:A",true,false,false,1129,"2021-09-19 02:31:27","2021-09-19 06:00:21",848073.745518866693601,6508910.919332086108625
484,"Caluire Chemin Petit","70A:R",true,false,false,1138,"2021-09-19 02:31:27","2021-09-19 06:00:21",844480.401538301957771,6524410.980447662062943
490,"Valpre","19A:R",true,false,false,1144,"2021-09-19 02:31:27","2021-09-19 06:00:21",838856.302457879763097,6521449.843730370514095
502,"Cimetiere d'Oullins","C7B:R",true,false,false,9017,"2021-09-19 02:31:27","2021-09-19 06:00:21",840887.062904037651606,6513815.575468704104424
542,"Claudius Collonge","63A:A,63A:R,S1A:A,S1A:R",false,false,false,10801,"2021-09-19 02:31:27","2021-09-19 06:00:21",841601.433803454274312,6518120.662837497889996
682,"Dauphine","62A:A,87A:A",true,false,false,9377,"2021-09-19 02:31:27","2021-09-19 06:00:21",851999.257524737506174,6508927.808227467350662
693,"Debrousse","C19A:A",true,false,false,1290,"2021-09-19 02:31:27","2021-09-19 06:00:21",840916.021604333422147,6518150.976758426986635
697,"Decines Champ Fleuri","67A:A",true,false,false,10770,"2021-09-19 02:31:27","2021-09-19 06:00:21",853255.383384353131987,6521256.785507992841303
753,"Diderot","C7B:R",true,false,false,9018,"2021-09-19 02:31:27","2021-09-19 06:00:21",840728.257068075472489,6514248.11021526902914
795,"Dumas","69A:A",false,false,false,10990,"2021-09-19 02:31:27","2021-09-19 06:00:21",846723.129887707298622,6521312.12004910223186
808,"Duquesne - Foch","C6C:A",true,false,false,10463,"2021-09-19 02:31:27","2021-09-19 06:00:21",843187.373977606999688,6520882.14528635237366
45809,"Le Pont","2EX:A",false,false,false,11104,"2021-09-19 02:31:27","2021-09-19 06:00:24",828335.292665429762565,6510218.493654179386795
46095,"Pontet Crases","3A:R,C6C:A,C6E:A",true,false,false,3427,"2021-09-19 02:31:27","2021-09-19 06:00:24",837097.307161452015862,6522478.819155183620751
46096,"Pontet Crases","3A:A,C6C:R,C6E:R,PL3A:A",true,false,false,3426,"2021-09-19 02:31:27","2021-09-19 06:00:24",837100.372534391004592,6522486.785949734039605
46111,"Thurins Les Vergers","11B:R",true,false,false,4968,"2021-09-19 02:31:27","2021-09-19 06:00:24",827975.342354030930437,6510343.267829606309533
46121,"Gare d'Oullins","11B:A",true,false,false,738,"2021-09-19 02:31:27","2021-09-19 06:00:24",841155.557577695697546,6514574.188700125552714
47771,"Waldeck - Rousseau","78B:R,80A:A",false,false,false,10752,"2021-09-19 02:31:27","2021-09-19 06:00:25",839197.358346004737541,6502223.270182789303362
47772,"Les Vernes - J. Valles","80A:A",true,false,false,10799,"2021-09-19 02:31:27","2021-09-19 06:00:25",837680.281907696160488,6502393.315030880272388
47774,"Corbas Les Roses","87A:A,ZI1A:A",false,false,false,10792,"2021-09-19 02:31:27","2021-09-19 06:00:25",848888.286492630606517,6510811.748765015974641
47775,"Langevin","93A:R",false,false,false,10874,"2021-09-19 02:31:27","2021-09-19 06:00:25",846338.953187756706029,6513095.806797380559146
51,"Charmettes","C16A:R",true,false,false,821,"2021-09-19 02:31:27","2021-09-19 06:00:21",845246.506323804613203,6519981.896005697548389
66,"Andre Brun","16A:R",false,false,false,837,"2021-09-19 02:31:27","2021-09-19 06:00:21",852826.813310946454294,6520514.016216789372265
75,"Arago","C11A:A",true,false,false,844,"2021-09-19 02:31:27","2021-09-19 06:00:21",846494.008729172870517,6519347.843969757668674
98,"Ayasse - Yves Farge","34A:A,C7B:A",true,false,false,9387,"2021-09-19 02:31:27","2021-09-19 06:00:21",842090.502680501202121,6516742.557801384478807
47777,"Bd de Parilly","93A:R",false,false,false,10876,"2021-09-19 02:31:27","2021-09-19 06:00:25",848221.378310055006295,6514560.346076958812773
47778,"Les Mouettes","95A:A",false,false,false,10793,"2021-09-19 02:31:27","2021-09-19 06:00:25",857351.389253042638302,6522444.926692871376872
47779,"Centre commercial Ecully","C6C:A",false,false,false,10767,"2021-09-19 02:31:27","2021-09-19 06:00:25",837886.992105399491265,6522293.839986567385495
47780,"Orsel","C7B:R",false,false,false,11100,"2021-09-19 02:31:27","2021-09-19 06:00:25",840782.510684005217627,6514489.412897044792771
47782,"Mont Louis","C14A:A,S15A:A",false,false,false,10830,"2021-09-19 02:31:27","2021-09-19 06:00:25",838828.587052136426792,6522646.52907366771251
47783,"Egalite - Farrere","C25B:A",false,false,false,10795,"2021-09-19 02:31:27","2021-09-19 06:00:25",851679.849991152761504,6511744.704867444001138
204,"Bir Hakeim","C11A:A",true,false,false,9413,"2021-09-19 02:31:27","2021-09-19 06:00:21",844203.279960153857246,6518751.335463835857809
47784,"Les Halles 102 - 104","5A:A,86A:A",false,false,false,10753,"2021-09-19 02:31:27","2021-09-19 06:00:25",836110.013651616405696,6521236.241679150611162
227,"Bon Coin - Medipole","C11A:A,C17A:R,C3A:A",true,false,false,9522,"2021-09-19 02:31:27","2021-09-19 06:00:21",848154.028461692621931,6519685.83509489800781
238,"Bourget","31A:R,43A:R",true,false,false,10926,"2021-09-19 02:31:27","2021-09-19 06:00:21",840749.4985792839434,6522052.964396609924734
47785,"Les Halles 102 - 104","5A:R,86A:R",false,false,false,10754,"2021-09-19 02:31:27","2021-09-19 06:00:25",836102.29134812799748,6521219.962009510025382
352,"Carrefour Liberation","5A:A,5A:R,73D:R,C21A:A,C21A:R",false,false,false,10755,"2021-09-19 02:31:27","2021-09-19 06:00:21",838008.864140460151248,6519249.146442755125463
443,"Gare de Villeurbanne","C26A:R",true,false,false,553,"2021-09-19 02:31:27","2021-09-19 06:00:21",846997.359983698814176,6519163.071026558987796
444,"Charton","C7B:A",true,false,false,5858,"2021-09-19 02:31:27","2021-09-19 06:00:21",840854.391418572398834,6514083.637482085265219
452,"Chassieu Mairie","68B:R,76A:R",true,false,false,10249,"2021-09-19 02:31:27","2021-09-19 06:00:21",853300.464205849566497,6517833.328487511724234
463,"Chazay","C20D:A,C20E:A",true,false,false,1125,"2021-09-19 02:31:27","2021-09-19 06:00:21",838871.659802630194463,6517782.781749764457345
466,"Chemin Bressan","43A:R",true,false,false,1126,"2021-09-19 02:31:27","2021-09-19 06:00:21",842255.995824287412688,6533020.580818884074688
834,"Ecully Centre","19A:R,3A:R",true,false,false,10712,"2021-09-19 02:31:27","2021-09-19 06:00:21",838242.575533797498792,6520987.338175007142127
853,"Entree de Decines","67A:A",true,false,false,1395,"2021-09-19 02:31:27","2021-09-19 06:00:21",850338.777704741223715,6520489.320973142981529
873,"Etats-Unis Viviani","26A:A",true,false,false,9759,"2021-09-19 02:31:27","2021-09-19 06:00:21",845473.458872298710048,6515703.206997975707054
884,"Eurexpo Entrée Princ.","100A:A,100A:R",true,false,false,11040,"2021-09-19 02:31:27","2021-09-19 06:00:21",851584.515673513174988,6516494.193420087918639
901,"Felix Faure Vivier Merle","C11A:A",true,false,false,9414,"2021-09-19 02:31:27","2021-09-19 06:00:21",844503.533790179528296,6518811.714055575430393
912,"Feuillat - Lacassagne","25A:R,C13B:A,C16A:R",false,false,false,1409,"2021-09-19 02:31:27","2021-09-19 06:00:21",845765.402239526621997,6518457.233645944856107
1393,"La Gabrielle","115A:R,118A:R,21A:R,61B:R",true,false,false,9270,"2021-09-19 02:31:27","2021-09-19 06:00:22",838208.60367646929808,6524735.907728213816881
1426,"La Pagere - Les Brosses","24A:R",true,false,false,10703,"2021-09-19 02:31:27","2021-09-19 06:00:22",848826.877121649333276,6518358.133948256261647
1431,"La Pelletiere","132:A,171:A,S8A:A",true,false,false,6024,"2021-09-19 02:31:27","2021-09-19 06:00:22",846995.230230773566291,6524837.25917935743928
1449,"La Sarra","90B:A",true,false,false,6036,"2021-09-19 02:31:27","2021-09-19 06:00:22",841062.647861649980769,6519585.498303346335888
1452,"La Saulaie","15C:R,17B:A",true,false,false,10402,"2021-09-19 02:31:27","2021-09-19 06:00:22",841422.558592736721039,6514778.48526065889746
1470,"La Vernique","19A:R,3A:R",true,false,false,10713,"2021-09-19 02:31:27","2021-09-19 06:00:22",838504.56936571339611,6520896.178202982991934
1482,"Laborde","31A:R,43A:R",true,false,false,10927,"2021-09-19 02:31:27","2021-09-19 06:00:22",840824.622631134232506,6522192.19955075532198
235,"Bourdarias","C25B:R",true,false,false,9303,"2021-09-19 02:31:27","2021-09-19 06:00:21",846401.728975366801023,6515666.180199311114848
256,"Boutasse - C. Rousset","C17A:A",true,false,false,406,"2021-09-19 02:31:27","2021-09-19 06:00:21",848068.058931402047165,6516781.019197180867195
269,"Brossolette-Genas","24A:A,25A:A,52A:R",true,false,false,9260,"2021-09-19 02:31:27","2021-09-19 06:00:21",849113.081189348944463,6518345.856960825622082
325,"Mermoz - Californie","C15A:A,PL2A:A",true,false,false,9757,"2021-09-19 02:31:27","2021-09-19 06:00:21",846054.389602300943807,6516613.392454529181123
328,"Caluire Centre","33A:R,38B:R,S5A:R",true,false,false,9758,"2021-09-19 02:31:27","2021-09-19 06:00:21",843544.259588472079486,6523836.65285906009376
46119,"La Croix des Hormes","97A:A,97A:R",true,false,false,5186,"2021-09-19 02:31:27","2021-09-19 06:00:24",845250.979221740853973,6533106.78935094550252
46120,"Gare d'Oullins","11B:R,12B:R,14B:R,18B:R,328A:A,328A:R,78B:R,88B:A,88B:R",true,false,false,739,"2021-09-19 02:31:27","2021-09-19 06:00:24",841141.561064830748364,6514608.278195693157613
